id,Y,X,altitude,name,top,bottom,xx,tt,zz,t
Z65,39484801.52,3853451.44,38.23,,615,773.25,,,太原组
Z25,39482763.89,3851318.47,38.56,,258.14,308.7,,,太原组
Z5,39487162.06,3852135.03,37.29,,280,387.3,,,太原组
Z8,39486511.78,3852370.44,37.38,,315.45,443.56,,,太原组
