id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z19,39480090.83,3851656.04,38.91,7煤,526.88,528.73,二叠系,下二叠统,山西组
Z19,39480090.83,3851656.04,38.91,8煤,573.61,577.35,二叠系,下二叠统,山西组
Z19,39480090.83,3851656.04,38.91,煤,517.3,522.2,二叠系,下二叠统,山西组
Z19,39480090.83,3851656.04,38.91,煤,608.15,620.0,石炭系,上石炭统,太原组
Z2,39481103.75,3851767.21,38.66,7煤,473.04,473.34,二叠系,下二叠统,山西组
Z2,39481103.75,3851767.21,38.66,9煤,509.09,512.26,二叠系,下二叠统,山西组
Z20,39484473.89,3852586.33,37.87,11煤,559.25,559.45,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,13下煤,572.22,572.44,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,14煤,577.95,578.2,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,15煤,580.7,581.1,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,18煤,589.42,590.0,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,21煤,646.3,647.75,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,22煤,652.8,653.35,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,7煤,450.9,452.3,二叠系,下二叠统,山西组
Z20,39484473.89,3852586.33,37.87,8煤,479.85,483.85,二叠系,下二叠统,山西组
Z20,39484473.89,3852586.33,37.87,煤,526.0,526.2,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,煤,656.38,656.63,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,13煤,271.65,272.0,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,14煤,277.23,277.57,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,15煤,280.26,280.69,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,17煤,285.75,287.45,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,18煤,289.41,289.88,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,21煤,350.56,351.84,石炭系,上石炭统,太原组
Z21,39484188.2,3851666.26,37.65,22煤,355.75,356.14,石炭系,上石炭统,太原组
Z22,39483701.5,3851599.62,37.07,17煤,290.11,291.83,石炭系,上石炭统,太原组
Z22,39483701.5,3851599.62,37.07,18煤,292.73,293.1,石炭系,上石炭统,太原组
Z22,39483701.5,3851599.62,37.07,21煤,347.71,349.0,石炭系,上石炭统,太原组
