X,Y,top, "ZLEVEL"
3853020.5215162653476, 39480508.399195991457, -900, "-900"
3853041.0540348840877, 39480456.691658303142, -900, "-900"
3853062.870684012305, 39480404.984120614827, -900, "-900"
3853068.9146153847687, 39480391.228548787534, -900, "-900"
3853086.0053145745769, 39480353.276582926512, -900, "-900"
3853109.0950595852919, 39480301.569045238197, -900, "-900"
3853120.0233846157789, 39480276.724809750915, -900, "-900"
3853132.2697104313411, 39480249.861507549882, -900, "-900"
3853155.3703542184085, 39480198.153969861567, -900, "-900"
3853171.1321538463235, 39480161.745990611613, -900, "-900"
3853178.0289492402226, 39480146.446432173252, -900, "-900"
3853200.8862844249234, 39480094.738894484937, -900, "-900"
3853222.2409230773337, 39480044.697446539998, -900, "-900"
3853222.9824295905419, 39480043.031356796622, -900, "-900"
3853245.6421892615035, 39479991.323819108307, -900, "-900"
3853267.6277651879936, 39479939.616281419992, -900, "-900"
3853273.3496923078783, 39479925.90884000808, -900, "-900"
3853289.9143164013512, 39479887.908743724227, -900, "-900"
3853311.9835742316209, 39479836.201206035912, -900, "-900"
3853324.4584615388885, 39479806.479232311249, -900, "-900"
3853334.0791839915328, 39479784.493668347597, -900, "-900"
3853356.3983173999004, 39479732.786130659282, -900, "-900"
3853375.5672307694331, 39479687.779732309282, -900, "-900"
3853378.5368249099702, 39479681.078592970967, -900, "-900"
3853401.2640919750556, 39479629.371055282652, -900, "-900"
3853423.7830090825446, 39479577.663517594337, -900, "-900"
3853426.6760000004433, 39479570.98984181881, -900, "-900"
3853446.9355928995647, 39479525.955979906023, -900, "-900"
3853470.0757676302455, 39479474.248442217708, -900, "-900"
3853477.7847692309879, 39479456.982630781829, -900, "-900"
3853493.7017262703739, 39479422.540904529393, -900, "-900"
3853517.5406125830486, 39479370.833366841078, -900, "-900"
3853528.8935384619981, 39479346.191260524094, -900, "-900"
3853541.7666005566716, 39479319.125829152763, -900, "-900"
3853566.340456453152, 39479267.418291464448, -900, "-900"
3853580.0023076925427, 39479238.673519223928, -900, "-900"
3853591.2417171043344, 39479215.710753776133, -900, "-900"
3853616.5464597456157, 39479164.003216087818, -900, "-900"
3853631.1110769235529, 39479134.245329841971, -900, "-900"
3853642.1496792640537, 39479112.295678399503, -900, "-900"
3853668.1462925518863, 39479060.588140711188, -900, "-900"
3853682.2198461540975, 39479032.586126491427, -900, "-900"
3853694.4373433520086, 39479008.880603022873, -900, "-900"
3853721.0603059888817, 39478957.173065334558, -900, "-900"
3853733.3286153851077, 39478933.320430979133, -900, "-900"
3853747.9946339619346, 39478905.465527646244, -900, "-900"
3853775.1614875346422, 39478853.757989957929, -900, "-900"
3853784.4373846156523, 39478836.071077831089, -900, "-900"
3853802.6749016386457, 39478802.050452269614, -900, "-900"
3853830.2953001004644, 39478750.342914581299, -900, "-900"
3853835.5461538466625, 39478740.488578945398, -900, "-900"
3853858.3135199192911, 39478698.635376892984, -900, "-900"
3853886.2966716648079, 39478646.927839204669, -900, "-900"
3853886.6549230772071, 39478646.2638727054, -900, "-900"
3853914.7427805643529, 39478595.220301516354, -900, "-900"
3853937.7636923082173, 39478553.123951382935, -900, "-900"
3853943.1205366058275, 39478543.512763828039, -900, "-900"
3853971.8024560590275, 39478491.805226139724, -900, "-900"
3853988.8724615387619, 39478460.8311823681, -900, "-900"
3854000.5093520875089, 39478440.097688451409, -900, "-900"
3854029.3463261518627, 39478388.390150763094, -900, "-900"
3854039.9812307697721, 39478369.195466943085, -900, "-900"
3854058.3156461440958, 39478336.68261307478, -900, "-900"
3854087.2454466200434, 39478284.975075386465, -900, "-900"
3854091.0900000003166, 39478278.058909960091, -900, "-900"
3854091.0900000003166, 39483057.805660225451, -850, "-850"
3854073.5791371953674, 39483042.068542718887, -850, "-850"
3854039.9812307697721, 39483012.204988032579, -850, "-850"
3854014.5329404161312, 39482990.361005030572, -850, "-850"
3853988.8724615387619, 39482968.40190525353, -850, "-850"
3853952.9027480101213, 39482938.653467342257, -850, "-850"
3853937.7636923082173, 39482926.065014690161, -850, "-850"
3853889.2107469849288, 39482886.945929653943, -850, "-850"
3853886.6549230772071, 39482884.856866501272, -850, "-850"
3853835.5461538466625, 39482844.000565268099, -850, "-850"
3853824.3134830892086, 39482835.238391965628, -850, "-850"
3853784.4373846156523, 39482803.239762894809, -850, "-850"
3853759.4340249062516, 39482783.530854277313, -850, "-850"
3853733.3286153851077, 39482762.108414180577, -850, "-850"
3853696.1335716065951, 39482731.823316588998, -850, "-850"
3853682.2198461540975, 39482719.845957264304, -850, "-850"
3853636.3424326116219, 39482680.115778900683, -850, "-850"
3853631.1110769235529, 39482675.221745468676, -850, "-850"
3853582.4396850951016, 39482628.408241212368, -850, "-850"
3853580.0023076925427, 39482625.803739026189, -850, "-850"
