经距Y,纬距X,高程
39478841.57,3852508.07,40.05
39478181.56,3851102.2,38.28
39478850.5,3850497.0,39.42
39481359.99,3850798.76,38.78
39487162.06,3852135.03,37.29
39488088.44,3853284.63,37.2
39488471.36,3853764.18,37.15
39487884.24,3854091.09,37.22
39485624.96,3854357.71,37.56
